file_name,execution_time,top_state,top_probability,unique_bitstrings,normalized_entropy,coherence_ratio,entanglement_indicator,net_interference,collective_enhancement
job-d01b73fnjtis73c3hr00-result.json,2025-04-18T20:18:47.036534 to 2025-04-18T20:18:47.898577,0100000,6.25%,129,0.9635,8.0000,1.0078,-0.0000,0.2536
job-d01b0copmeos73fh5ul0-result.json,2025-04-18T21:42:38.054540 to 2025-04-18T21:42:39.970275,0100000,5.99%,129,0.9681,7.6667,1.0078,0.0000,0.2381
job-d01cp2d1r6vs73dcobv0-result.json,2025-04-18T22:05:07.893139 to 2025-04-18T22:05:10.161042,0100000,6.51%,129,0.9641,8.3333,1.0078,0.0000,0.2469
job-d01crb7njtis73c3rd40-result.json,2025-04-18T22:09:50.099751 to 2025-04-18T22:09:57.342889,0100000,5.82%,129,0.9701,7.4444,1.0078,0.0000,0.2370
job-d01ctffnjtis73c3rn8g-result.json,2025-04-18T22:14:26.369635 to 2025-04-18T22:14:27.359775,0100000,5.64%,128,0.9686,7.2222,1.0000,0.0000,0.2392
job-d01d2b8pmeos73fhlepg-result.json,2025-04-18T22:24:48.069900 to 2025-04-18T22:24:49.159877,0100000,5.99%,129,0.9699,7.6667,1.0078,-0.0000,0.2293
job-d01d2sfnjtis73c3shj0-result.json,2025-04-18T22:25:55.054646 to 2025-04-18T22:25:56.126377,0100000,5.90%,129,0.9735,7.5556,1.0078,-0.0000,0.2062
job-d01d578pmeos73fhlrug-result.json,2025-04-18T22:30:56.032773 to 2025-04-18T22:30:57.122713,0100000,6.16%,129,0.9652,7.8889,1.0078,0.0000,0.2403
job-d01d57l1r6vs73dcq5sg-result.json,2025-04-18T22:30:59.980971 to 2025-04-18T22:31:01.045394,0100000,6.34%,129,0.9525,8.1111,1.0078,0.0000,0.3054
job-d01g7a0pmeos73fi766g-result.json,2025-04-19T02:00:10.955524 to 2025-04-19T02:00:11.891581,11,85.94%,41,0.5524,3.4375,10.2500,-0.0000,0.7739
job-d01g7c7njtis73c4eat0-result.json,2025-04-19T02:00:18.568970 to 2025-04-19T02:00:19.332972,11,86.98%,41,0.5198,3.4792,10.2500,-0.0000,0.7871
job-d01g7bt1r6vs73ddbi5g-result.json,2025-04-19T02:00:21.440738 to 2025-04-19T02:00:22.443965,11,84.81%,41,0.5833,3.3924,10.2500,-0.0000,0.7596
